image,rot_x,rot_y,ref_x,ref_y,centroid_x,centroid_y,dist_rot_centroid,dist_ref_centroid,dist_rot_ref
139,386,278,404,278,374.242789019169,313.598060022028,37.4893836623079,46.3973434874201,18
281,332,298,332,298,338.216907728006,293.090475124504,7.92170285996989,7.92170285996989,0
13,409,343,247,437,406.189283416326,358.800890627305,16.0489336820172,177.359320762361,187.29655629509
392,327,316,327,333,328.586401865216,309.573012076047,6.61988252558931,23.4806395583046,17
339,367,379,367,379,381.101530693454,402.115178325281,27.0770130721242,27.0770130721242,0
323,274,283,288,283,283.665573017477,298.158582986499,17.9779292443472,15.7660995628409,14
348,335,339,319,387,322.431773260354,341.70840514577,12.8567407150022,45.4214226125753,50.5964425626941
403,383,372,383,352,390.370859318998,363.062333120243,11.5849668257598,13.2930350621552,20
107,360,353,526,371,363.818363516123,349.477135645968,5.19523562489408,163.603535727656,166.973051717934
186,359,365,378,365,365.064916923475,370.408802695596,8.12639919574108,14.0203965991155,19
