image,rot_x,rot_y,ref_x,ref_y,centroid_x,centroid_y,img_width,img_height,search_scale,dist_rot_centroid,dist_ref_centroid,dist_rot_ref,dist_rot_centroid_pct,dist_ref_centroid_pct,dist_rot_ref_pct
Flower2,4217.765,3164.765,4217.765,3164.765,4159.68836427775,3214.63061994168,8424,6338,0.0949667616334283,76.5472120261922,76.5472120261922,0,0.726115764199686,0.726115764199686,0
Leaf,1971.290625,3422.350625,2110.815625,3422.350625,2075.82570133744,2950.17292688924,4218,5581,0.143343486830317,483.610753373049,473.47235753641,139.525,6.91302339285501,6.7680990562974,1.99445438746079
Flower1,2043.05,1538.15,2043.05,1538.15,2030.74950917937,1550.29530445087,4080,3072,0.196078431372549,17.2861359080866,17.2861359080866,0,0.338465409028062,0.338465409028062,0
Orchid,2043.05,1538.15,2043.05,1538.15,2070.43394370163,1547.58191319705,4080,3072,0.196078431372549,28.9627581423196,28.9627581423196,0,0.567095609646061,0.567095609646061,0
