image,rot_x,rot_y,ref_x,ref_y,centroid_x,centroid_y,img_width,img_height,search_scale,dist_rot_centroid,dist_ref_centroid,dist_rot_ref,dist_rot_centroid_pct,dist_ref_centroid_pct,dist_rot_ref_pct
Flower2,4207.235,3175.295,4207.235,3175.295,4159.68836427775,3214.63061994168,8424,6338,0.0949667616334283,61.70878028855,61.70878028855,0,0.585360550319183,0.585360550319183,0
Leaf,1901.528125,3345.611875,2117.791875,3206.086875,2075.82570133744,2950.17292688924,4218,5581,0.143343486830317,432.147667817435,259.332043082824,257.365955769333,6.17737905113371,3.7070484224025,3.67894398614718
Flower1,2037.95,1543.25,2037.95,1619.75,2030.74950917937,1550.29530445087,4080,3072,0.196078431372549,10.0738961114107,69.8269418052947,76.5,0.197248557224391,1.36722310555545,1.49788269213676
Orchid,2037.95,1543.25,2037.95,1543.25,2070.43394370163,1547.58191319705,4080,3072,0.196078431372549,32.7715130922762,32.7715130922762,0,0.641671663477829,0.641671663477829,0
