image,rot_x,rot_y,ref_x,ref_y,centroid_x,centroid_y,img_width,img_height,dist_rot_centroid,dist_ref_centroid,dist_rot_ref,dist_rot_centroid_pct,dist_ref_centroid_pct,dist_rot_ref_pct
13,409,343,247,437,406.189283416326,358.800890627305,752,647,16.0489336820172,177.359320762361,187.29655629509,1.6177957792917,17.8785186749757,18.8802311887915
14,450,345,411,321,437.462445185734,363.144927046097,937,782,22.0551277082889,49.7640018580583,45.7930125674212,1.80713394447309,4.07751966617363,3.75214818634527
15,361,363,400,382,381.969421585242,381.959044225047,759,761,28.2694534709623,18.0306249294427,43.3820239269677,2.63019801918792,1.67757448946982,4.03627588762116
19,400,421,400,404,376.459544720172,348.040567953057,693,702,76.6631055945043,60.7092338100066,17,7.77173816328225,6.15441111609071,1.72337851110051
1_amborellaceae,371,234,320,346,336.274783116454,312.405057254318,638,689,85.7507649567175,37.3294621388155,123.065023463208,9.13190899382482,3.97534938856995,13.1056392926195
22,339,317,339,317,345.751957952229,321.994659334522,675,631,8.39854499640255,8.39854499640255,0,0.908928118195302,0.908928118195302,0
23,392,351,428,410,396.94947178131,359.657747505311,782,739,9.97265575359493,59.147930554658,69.1158447825099,0.926879181629804,5.49733058296285,6.42376907741675
24,348,353,366,353,367.601476635045,330.454939940666,769,744,29.8746986487426,22.6018685177038,18,2.79203156910259,2.11232692801709,1.6822451946628
25,391,342,391,325,383.832964674545,335.360877116746,688,615,9.76956232465243,12.5981812173274,17,1.05868116393586,1.36520518641653,1.84220942441758
3_cabombaceae,355,320,370,288,350.580539372299,300.638534366431,651,574,19.859455776019,23.1699806215348,35.3411940941446,2.2881789679076,2.66961305198719,4.07196339814164
4_nymphaeaceae,378,362,417,401,411.296651589128,391.27818034956,793,762,44.3382323917989,11.2712892080486,55.1543289325507,4.03159312316907,1.02487739382285,5.01508069317183
5_austrobaileyaceae,426,414,426,435,398.210713750859,381.28246175762,813,746,42.926468977524,60.4799003393548,21,3.89039193625518,5.48124553894567,1.90321339274692
7_schisandraceae,393,346,411,365,397.682031024586,356.301071129028,750,728,11.3151880638582,15.9072204087429,26.1725046566048,1.08256562804246,1.52190223927474,2.50401971059777
320,332,362,332,362,339.140713871991,371.597248893947,699,721,11.9623150323847,11.9623150323847,0,1.1912139564057,1.1912139564057,0
321,84,94,84,94,86.0039907371761,94.9046913628921,175,186,2.19873721412521,2.19873721412521,0,0.860953310576573,0.860953310576573,0
323,274,283,288,283,283.665573017477,298.158582986499,545,563,17.9779292443472,15.7660995628409,14,2.29433908329843,2.01206590183761,1.78667669282755
324,320,370,359,227,364.464461425587,366.907436409246,716,775,44.5718776744972,140.014110364917,148.222805262888,4.22433674952816,13.2699536731752,14.0479395542368
