image,rot_x,rot_y,ref_x,ref_y,centroid_x,centroid_y,img_width,img_height,dist_rot_centroid,dist_ref_centroid,dist_rot_ref,dist_rot_centroid_pct,dist_ref_centroid_pct,dist_rot_ref_pct
341,365,362,365,380,364.472869343842,350.96529988529,694,724,11.0472835281003,29.0394848005227,18,1.1015319386573,2.89554621356129,1.79479189118277
342,340,336,359,336,355.834885715902,345.859731498438,754,706,18.6536299646204,10.3553007514364,19,1.80588843355494,1.00251360665298,1.83942108332919
345,353,318,353,318,352.567326347314,322.986734011635,741,636,5.00546926796311,5.00546926796311,0,0.512586206789873,0.512586206789873,0
346,331,311,314,328,332.796575357546,310.993994115562,659,689,1.79658539624215,25.3478890898917,24.0416305603426,0.188436680786202,2.65863904661963,2.52163079637349
348,318,340,318,373,322.431773260354,341.70840514577,636,677,4.74965918496063,31.6038687940644,33,0.511329780804056,3.40234923680383,3.55265127653021
349,346,258,294,288,362.715981027743,319.211038436762,690,606,63.4524644771712,75.471948225193,60.0333240792145,6.90952471765831,8.21836150965286,6.53720450460613
352,420,322,401,304,393.907790872864,312.482902458482,799,713,27.773701999355,11.057082093534,26.1725046566048,2.59355588136111,1.03252927157653,2.44403332993437
353,363,347,363,405,367.182639381777,358.065815691641,764,770,11.8299090917628,47.1201881245073,58,1.09060560024297,4.34403516159502,5.34705079501729
355,358,334,358,316,359.248935438819,331.808932087805,716,701,2.52202663074558,15.8581894769599,18,0.251692621378263,1.58261186900681,1.79635977256489
356,375,359,375,412,366.020076384681,374.317796248447,747,715,17.7559542138943,38.7374174114706,53,1.71714763624788,3.74622867017774,5.12553837573661
357,384,366,384,366,381.704459361504,370.30017238057,730,730,4.87452452302779,4.87452452302779,0,0.472165663738777,0.472165663738777,0
359,352,382,352,364,355.406666988794,373.829323140925,739,725,8.85242002550557,10.4029309995431,18,0.855098365510073,1.00486977217457,1.738707668054
360,352,384,352,403,396.096755521682,377.437382552521,782,766,44.582415763403,50.9702978047523,19,4.07271895884921,4.65626850077539,1.7356991291992
366,274,203,346,261,330.732788454642,238.658312360105,727,578,67.0083914611441,27.0599104760044,92.4553946506098,7.21474844691667,2.91352236374253,9.95461016776309
368,386,373,386,391,377.298410398625,380.595771365528,769,710,11.5504720348624,13.5633931989426,18,1.10357352382611,1.29589523115749,1.71978455676219
369,241,470,230,489,225.617758139144,433.874040269098,457,782,39.2644665205661,55.2998687157584,21.9544984001001,4.33504911113763,6.10546043193306,2.42391753177077
371,403,342,422,342,394.433418173445,347.125331958837,765,718,9.98275272053452,28.0389989352051,19,0.951494240257611,2.6725039411783,1.81096247407866
374,370,375,390,375,371.318396213899,372.510067110305,778,714,2.81743400490737,18.8468057191673,20,0.266809161993288,1.78478020476176,1.89398695074002
377,404,397,424,377,407.979968933108,394.362426957887,808,791,4.77461456674666,23.6240399858308,28.2842712474619,0.422260356085076,2.08927765731299,2.50142211095755
378,356,326,356,362,352.828565672667,328.994612185902,710,724,4.36184569150895,33.1574067208463,36,0.430145563327557,3.26983401090591,3.55015774857342
379,342,383,326,325,321.943279777125,377.705453909664,652,763,20.743776040089,52.8613455257281,60.1664358259653,2.06687502980459,5.2670157495844,5.9948826867731
382,390,334,409,387,396.992819848816,350.378128852025,777,704,17.8084989297672,38.5400288214979,56.302753041037,1.69847950898765,3.675742098605,5.36985586022343
383,229,382,218,382,222.970264169247,416.561049094038,436,728,35.0830989034492,34.9166098066898,11,4.13435317670344,4.11473333844548,1.29629041804134
387,275,501,340,390,329.53178458177,389.637125551152,648,741,123.997602134809,10.4745029432476,128.631255921724,12.5966412170408,1.06408150828175,13.0673638219367
392,328,315,311,315,328.586401865216,309.573012076047,654,664,5.45857720237283,18.4047202774614,17,0.585688294823829,1.97476903529552,1.82404693436908
394,418,368,458,329,418.388865647575,368.096822589919,795,773,0.400738201052481,55.6561182738557,55.8659108938537,0.0361398995212594,5.01925326030262,5.03817305429061
396,255,444,242,554,240.476179476782,445.824706797892,507,885,14.6379956786756,108.186025383822,110.765518100174,1.43518452382507,10.6071153956684,10.8600221533348
399,368,361,368,285,365.42914184511,335.570201205446,736,757,25.5594205408512,50.6355069255933,76,2.4208241162707,4.79586992628222,7.1982317651731
400,395,381,453,381,403.086572877993,382.42831552238,787,759,8.2117444031439,49.9338591768688,58,0.75105149507775,4.56698330447681,5.30471780123015
401,428,372,449,372,435.313066407082,366.669075556354,853,675,9.04984506487582,14.6884616825862,21,0.831966470253678,1.35033335177714,1.93056298202681
403,383,372,402,353,390.370859318998,363.062333120243,763,742,11.5849668257598,15.3781488093102,26.8700576850888,1.08850647798604,1.44490828934847,2.52467117894914
405,426,359,426,378,412.777771039579,370.02607872367,774,756,17.216322217662,15.4405556636706,19,1.59123343773157,1.42710668158747,1.75609139598257
407,335,389,367,406,344.814571012162,384.951825886139,638,705,10.6166622725273,30.5813487750595,36.2353418639869,1.1165732349785,3.21629478787644,3.81093528710246
408,277,336,277,336,275.964707149479,337.492853798762,581,669,1.81671234674533,1.81671234674533,0,0.205030086197239,0.205030086197239,0
413,361,261,418,276,380.472213134326,280.571910947819,760,611,27.6084549096469,37.8052530311625,58.9406481131655,2.8311956548022,3.87685831969993,6.04425373949164
415,341,343,341,424,351.209240357551,350.578077061972,647,651,12.7143950164938,74.1283168336903,81,1.38526845079015,8.07648484152611,8.82517370023828
416,372,423,434,459,395.801118037943,430.495952827271,825,734,24.9536075276653,47.6616752577619,71.6937933157397,2.25976682361613,4.31618043146857,6.49249834575955
106,352,372,352,355,345.002982620356,365.862720455522,701,707,9.30722581750914,12.9211821404177,17,0.934821411314909,1.2978086017467,1.70748666723621
107,360,352,324,371,363.818363516123,349.477135645968,718,739,4.57654285351991,45.2629623765852,40.7062648740952,0.444168621111921,4.39292020849012,3.95067764433529
108,418,337,437,337,417.745454170778,320.2418004571,759,671,16.7601326217554,25.5259629986658,19,1.65438137297649,2.51965056991636,1.87547716930065
110,380,428,326,448,372.098131185504,379.157912751746,724,777,49.477156522253,82.8508942347162,57.5847201955519,4.65873997912399,7.80119150751613,5.42214340957584
120,347,423,347,423,349.255420346849,403.138414779646,729,734,19.9892343126584,19.9892343126584,0,1.93225435224845,1.93225435224845,0
136,341,365,357,418,343.521363429716,376.610970426295,679,696,11.8815785056111,43.5284437218567,55.3624421426656,1.22194948045734,4.47664080710491,5.69369695963645
137,310,244,345,365,326.886129103651,357.330872377511,687,696,114.581970614721,19.6704813703079,125.960311209523,11.7165542869144,2.01140076042069,12.8800440101124
138,355,365,337,418,354.059591614545,369.920758709262,707,696,5.00981378957439,51.0161063699307,55.9732078766261,0.504969982677666,5.14222752221185,5.64188430929177
139,387,279,404,279,374.242789019169,313.598060022028,701,695,36.8750890073139,45.634607072326,17,3.73558519515544,4.62295731767061,1.72216393308357
140,281,314,281,314,296.444839540088,319.626933372973,559,695,16.4379271078482,16.4379271078482,0,1.8429999374659,1.8429999374659,0
142,388,175,368,349,400.408751601163,330.46314420625,773,695,155.957578600056,37.3355353927621,175.145653671451,15.0031774539857,3.59169248372117,16.8490774601329
