image,rot_x,rot_y,ref_x,ref_y,centroid_x,centroid_y,img_width,img_height,search_scale,dist_rot_centroid,dist_ref_centroid,dist_rot_ref,dist_rot_centroid_pct,dist_ref_centroid_pct,dist_rot_ref_pct
Flower2,1410.4925,1429.2175,1410.4925,1429.2175,1407.60134796704,1441.71895481396,2823,2996,0.267022696929239,12.8314119465938,12.8314119465938,0,0.311708927142366,0.311708927142366,0
Leaf,1852.5375,3272.3375,1967.0375,3272.3375,1939.35703128405,2710.79500565541,3935,4580,0.174672489082969,568.21439964781,562.224315823386,114.5,9.41022875506506,9.3110266597208,1.89624056187733
Flower1,781.795625,781.795625,822.970625,864.145625,774.743585891406,823.299585152067,1647,1645,0.485731633272617,42.0988119059614,63.2000496237211,92.0700989735539,1.80852672447756,2.71501673225658,3.95524783195575
Orchid,755.55875,839.82375,755.55875,839.82375,842.437734437115,853.588613393175,1774,1766,0.450958286358512,87.9626591290719,87.9626591290719,0,3.51405841435431,3.51405841435431,0
